epoch,seed,lr,loss,acc,num_params
1,1000,0.0005,0.4477744497446173,0.9518,86826
2,1000,0.0005,0.09270997233251964,0.982,86826
3,1000,0.0005,0.06242831709034153,0.9778,86826
4,1000,0.0005,0.05249100295193335,0.9856,86826
5,1000,0.0005,0.042833099180191105,0.9866,86826
6,1000,0.0005,0.03787609487786881,0.983,86826
7,1000,0.0005,0.03237907132352275,0.965,86826
8,1000,0.0005,0.03082481266455109,0.9784,86826
9,1000,0.0005,0.029104072087904068,0.9863,86826
10,1000,0.0005,0.026005067068699702,0.9868,86826
