epoch,seed,lr,train_loss,test_loss,num_params
1,42,0.0005,0.08140927213937678,0.046834903210401534,101200
2,42,0.0005,0.03913011262391476,0.0322406554594636,101200
3,42,0.0005,0.028776515259387646,0.02513456903398037,101200
4,42,0.0005,0.023272864092537697,0.020724054798483847,101200
5,42,0.0005,0.01936995212702041,0.01713237287476659,101200
6,42,0.0005,0.015896658250626097,0.014106126315891743,101200
7,42,0.0005,0.01345414983386055,0.012099777068942785,101200
8,42,0.0005,0.01155386893673146,0.010438194964081049,101200
9,42,0.0005,0.01011539157876309,0.00920119071379304,101200
10,42,0.0005,0.009025880099928125,0.008280450943857431,101200
